dataset,mcc_breiman,mcc_ancestor,mcc_zhu
AllGestureWiimoteX,0.51931330472103,0.5364806866952789,0.5450643776824035
AllGestureWiimoteX,0.5364806866952789,0.5293276108726752,0.530758226037196
AllGestureWiimoteX,0.5264663805436338,0.5393419170243204,0.5236051502145923
AllGestureWiimoteX,0.5178826895565093,0.5407725321888412,0.5407725321888412
AllGestureWiimoteX,0.5164520743919886,0.5264663805436338,0.5293276108726752
AllGestureWiimoteY,0.5593705293276109,0.5965665236051502,0.586552217453505
AllGestureWiimoteY,0.5779685264663805,0.6094420600858369,0.6151645207439199
AllGestureWiimoteY,0.5736766809728183,0.5937052932761088,0.6065808297567954
AllGestureWiimoteY,0.5708154506437768,0.5879828326180258,0.592274678111588
AllGestureWiimoteY,0.5722460658082976,0.6108726752503576,0.6123032904148784
AllGestureWiimoteY,0.5879828326180258,0.6094420600858369,0.6051502145922747
AllGestureWiimoteY,0.586552217453505,0.6151645207439199,0.6208869814020028
AllGestureWiimoteY,0.5493562231759657,0.5779685264663805,0.5736766809728183
AllGestureWiimoteY,0.5851216022889842,0.6065808297567954,0.5951359084406295
AllGestureWiimoteY,0.5693848354792561,0.6051502145922747,0.5994277539341917
AllGestureWiimoteY,0.5550786838340487,0.6037195994277539,0.592274678111588
AllGestureWiimoteY,0.5765379113018598,0.5994277539341917,0.6022889842632332
AllGestureWiimoteY,0.5951359084406295,0.6237482117310443,0.6194563662374821
AllGestureWiimoteY,0.5779685264663805,0.6108726752503576,0.6108726752503576
AllGestureWiimoteY,0.5736766809728183,0.6080114449213162,0.6037195994277539
AllGestureWiimoteY,0.5765379113018598,0.5951359084406295,0.592274678111588
AllGestureWiimoteY,0.5879828326180258,0.6051502145922747,0.6008583690987125
AllGestureWiimoteY,0.5565092989985694,0.6123032904148784,0.6051502145922747
AllGestureWiimoteY,0.5608011444921316,0.592274678111588,0.5994277539341917
AllGestureWiimoteY,0.5779685264663805,0.6165951359084406,0.6037195994277539
AllGestureWiimoteY,0.5879828326180258,0.6180257510729614,0.6237482117310443
AllGestureWiimoteY,0.580829756795422,0.6080114449213162,0.6123032904148784
AllGestureWiimoteY,0.5708154506437768,0.586552217453505,0.6008583690987125
AllGestureWiimoteY,0.586552217453505,0.592274678111588,0.5908440629470673
AllGestureWiimoteY,0.5450643776824035,0.5836909871244635,0.5851216022889842
AllGestureWiimoteY,0.5894134477825465,0.6080114449213162,0.6123032904148784
AllGestureWiimoteY,0.5565092989985694,0.597997138769671,0.5937052932761088
AllGestureWiimoteY,0.5493562231759657,0.5908440629470673,0.592274678111588
AllGestureWiimoteY,0.5765379113018598,0.6080114449213162,0.6080114449213162
AllGestureWiimoteY,0.5793991416309013,0.5937052932761088,0.5937052932761088
AllGestureWiimoteY,0.5608011444921316,0.6008583690987125,0.6022889842632332
AllGestureWiimoteY,0.5722460658082976,0.586552217453505,0.5965665236051502
AllGestureWiimoteY,0.5894134477825465,0.6065808297567954,0.6051502145922747
AllGestureWiimoteY,0.5765379113018598,0.6080114449213162,0.6108726752503576
AllGestureWiimoteY,0.5836909871244635,0.6051502145922747,0.6051502145922747
AllGestureWiimoteY,0.5593705293276109,0.5822603719599427,0.5908440629470673
AllGestureWiimoteY,0.5722460658082976,0.6108726752503576,0.6094420600858369
AllGestureWiimoteY,0.5450643776824035,0.580829756795422,0.5937052932761088
AllGestureWiimoteY,0.5636623748211731,0.6037195994277539,0.6094420600858369
AllGestureWiimoteY,0.5650929899856938,0.5965665236051502,0.5908440629470673
AllGestureWiimoteY,0.5836909871244635,0.5994277539341917,0.5951359084406295
AllGestureWiimoteY,0.5908440629470673,0.6022889842632332,0.592274678111588
AllGestureWiimoteY,0.5793991416309013,0.6008583690987125,0.5965665236051502
AllGestureWiimoteY,0.5693848354792561,0.5937052932761088,0.5951359084406295
AllGestureWiimoteY,0.5536480686695279,0.5965665236051502,0.6022889842632332
AllGestureWiimoteY,0.5951359084406295,0.6094420600858369,0.6208869814020028
AllGestureWiimoteY,0.5822603719599427,0.6022889842632332,0.6094420600858369
AllGestureWiimoteY,0.5650929899856938,0.597997138769671,0.6051502145922747
AllGestureWiimoteY,0.575107296137339,0.6037195994277539,0.5951359084406295
AllGestureWiimoteY,0.5722460658082976,0.6065808297567954,0.6123032904148784
AllGestureWiimoteZ,0.43776824034334766,0.46494992846924177,0.47067238912732473
AllGestureWiimoteZ,0.47067238912732473,0.4792560801144492,0.4678111587982833
AllGestureWiimoteZ,0.4248927038626609,0.45779685264663805,0.4434907010014306
AllGestureWiimoteZ,0.4291845493562232,0.474964234620887,0.45493562231759654
AllGestureWiimoteZ,0.4363376251788269,0.44635193133047213,0.44778254649499283
AllGestureWiimoteZ,0.4363376251788269,0.45064377682403434,0.4678111587982833
AllGestureWiimoteZ,0.4520743919885551,0.4678111587982833,0.46924177396280403
AllGestureWiimoteZ,0.42775393419170243,0.43919885550786836,0.45350500715307585
AllGestureWiimoteZ,0.43204577968526464,0.45350500715307585,0.44635193133047213
AllGestureWiimoteZ,0.4234620886981402,0.43919885550786836,0.44778254649499283
AllGestureWiimoteZ,0.4220314735336195,0.4206008583690987,0.42775393419170243
AllGestureWiimoteZ,0.463519313304721,0.4592274678111588,0.4663805436337625
AllGestureWiimoteZ,0.4434907010014306,0.4663805436337625,0.46065808297567956
