dataset,accuracy_rf,accuracy_breiman,accuracy_ancestor,accuracy_zhu
ProximalPhalanxTW,0.943089430894309,0.964769647696477,0.964769647696477,0.9701897018970189
RefrigerationDevices,0.8894230769230769,0.907051282051282,0.8942307692307693,0.9006410256410257
Rock,0.8501006036217303,0.9245472837022133,0.9175050301810865,0.9215291750503019
ScreenType,0.9732441471571907,0.9866220735785953,0.9866220735785953,0.9866220735785953
SemgHandGenderCh2,0.6035242290748899,0.6828193832599119,0.6872246696035242,0.6563876651982379
SemgHandMovementCh2,0.7596899224806202,0.8062015503875969,0.7906976744186046,0.813953488372093
SemgHandSubjectCh2,0.98989898989899,1,1,1
ShakeGestureWiimoteZ,0.655536028119508,0.7557117750439367,0.6818980667838312,0.6906854130052724
ShapeletSim,0.9642410602650663,0.9822455613903476,0.9827456864216054,0.9827456864216054
ShapesAll,0.7692307692307693,0.8601398601398601,0.8391608391608392,0.8741258741258742
SmallKitchenAppliances,0.9447081820720469,0.9558782462999162,0.9533649818486456,0.9533649818486456
SmoothSubspace,0.7919575537559341,0.7894442893046635,0.7765987154426138,0.7771572186540072
SonyAIBORobotSurface1,0.7118123429209718,0.7151633621893326,0.7017592851158894,0.7037140463557665
SonyAIBORobotSurface2,0.7213068975146607,0.7249371683887182,0.7185143814576934,0.7204691426975706
StarLightCurves,0.9920493266266429,0.9962680512737303,0.9964303099140029,0.9962680512737303
Strawberry,0.6792452830188679,0.7169811320754716,0.6981132075471698,0.7358490566037735
SwedishLeaf,0.576138147566719,0.6342229199372057,0.6216640502354788,0.6216640502354788
Symbols,0.6052631578947368,0.6578947368421053,0.6578947368421053,0.631578947368421
SyntheticControl,0.631578947368421,0.6710526315789473,0.6578947368421053,0.6578947368421053
ToeSegmentation1,0.8109369789929977,0.8382794264754918,0.8336112037345782,0.8369456485495165
