dataset,accuracy_rf,accuracy_breiman,accuracy_ancestor,accuracy_zhu
Adiac,0.6897435897435897,0.7205128205128205,0.7230769230769231,0.7384615384615385
Adiac,0.6820512820512821,0.7333333333333333,0.7153846153846154,0.7256410256410256
Adiac,0.6666666666666666,0.7205128205128205,0.7230769230769231,0.7205128205128205
Adiac,0.6743589743589744,0.717948717948718,0.7076923076923077,0.7205128205128205
Adiac,0.6794871794871795,0.7076923076923077,0.7256410256410256,0.7282051282051282
Adiac,0.6974358974358974,0.7230769230769231,0.7256410256410256,0.7333333333333333
Adiac,0.6564102564102564,0.7076923076923077,0.7051282051282052,0.7230769230769231
Adiac,0.6717948717948717,0.7230769230769231,0.7128205128205128,0.7410256410256411
Adiac,0.6871794871794872,0.7153846153846154,0.7153846153846154,0.7282051282051282
Adiac,0.6717948717948717,0.7230769230769231,0.7256410256410256,0.7384615384615385
Adiac,0.6974358974358974,0.7307692307692307,0.7435897435897436,0.7538461538461538
Adiac,0.6897435897435897,0.7282051282051282,0.7307692307692307,0.7333333333333333
Adiac,0.6794871794871795,0.7307692307692307,0.7435897435897436,0.7307692307692307
Adiac,0.6897435897435897,0.7282051282051282,0.7512820512820513,0.7333333333333333
Adiac,0.6846153846153846,0.7461538461538462,0.7461538461538462,0.7512820512820513
Adiac,0.6846153846153846,0.7230769230769231,0.7333333333333333,0.7282051282051282
Adiac,0.6897435897435897,0.7282051282051282,0.7128205128205128,0.7384615384615385
Adiac,0.6948717948717948,0.7512820512820513,0.735897435897436,0.7410256410256411
Adiac,0.6923076923076923,0.7256410256410256,0.7153846153846154,0.7307692307692307
Adiac,0.6743589743589744,0.7076923076923077,0.7128205128205128,0.7333333333333333
Adiac,0.6615384615384615,0.7205128205128205,0.717948717948718,0.735897435897436
Adiac,0.6820512820512821,0.7102564102564103,0.7282051282051282,0.7512820512820513
Adiac,0.6846153846153846,0.7230769230769231,0.7256410256410256,0.7205128205128205
Adiac,0.6923076923076923,0.7435897435897436,0.7256410256410256,0.7435897435897436
Adiac,0.6948717948717948,0.7256410256410256,0.7256410256410256,0.7384615384615385
Adiac,0.6564102564102564,0.7076923076923077,0.6871794871794872,0.7076923076923077
Adiac,0.6846153846153846,0.7384615384615385,0.7153846153846154,0.7282051282051282
Adiac,0.7051282051282052,0.7256410256410256,0.717948717948718,0.7461538461538462
Adiac,0.6897435897435897,0.7333333333333333,0.7128205128205128,0.7307692307692307
Adiac,0.6538461538461539,0.7153846153846154,0.7256410256410256,0.7512820512820513
Adiac,0.6538461538461539,0.7205128205128205,0.7230769230769231,0.7410256410256411
Adiac,0.6717948717948717,0.7461538461538462,0.7205128205128205,0.7282051282051282
Adiac,0.6538461538461539,0.7102564102564103,0.7153846153846154,0.7333333333333333
Adiac,0.6538461538461539,0.7205128205128205,0.7205128205128205,0.7307692307692307
Adiac,0.6923076923076923,0.7307692307692307,0.7307692307692307,0.7435897435897436
Adiac,0.6974358974358974,0.7153846153846154,0.7256410256410256,0.735897435897436
Adiac,0.6820512820512821,0.7333333333333333,0.735897435897436,0.7307692307692307
Adiac,0.6871794871794872,0.7384615384615385,0.7333333333333333,0.7384615384615385
ArrowHead,0.6609195402298851,0.7126436781609196,0.7586206896551724,0.7183908045977011
ArrowHead,0.7126436781609196,0.7471264367816092,0.764367816091954,0.7471264367816092
ArrowHead,0.7011494252873564,0.7816091954022989,0.7931034482758621,0.7931034482758621
ArrowHead,0.6724137931034483,0.7816091954022989,0.8160919540229885,0.7758620689655172
ArrowHead,0.6666666666666666,0.7241379310344828,0.7528735632183908,0.7471264367816092
ArrowHead,0.6896551724137931,0.7471264367816092,0.7931034482758621,0.7586206896551724
ArrowHead,0.6609195402298851,0.7758620689655172,0.7873563218390804,0.764367816091954
ArrowHead,0.6724137931034483,0.6896551724137931,0.7298850574712644,0.7011494252873564
ArrowHead,0.5919540229885057,0.7183908045977011,0.7528735632183908,0.7241379310344828
ArrowHead,0.603448275862069,0.7126436781609196,0.7126436781609196,0.7126436781609196
ArrowHead,0.6839080459770115,0.7068965517241379,0.8218390804597702,0.7241379310344828
ArrowHead,0.6724137931034483,0.7413793103448276,0.764367816091954,0.7413793103448276
ArrowHead,0.6091954022988506,0.6839080459770115,0.6896551724137931,0.7068965517241379
ArrowHead,0.6149425287356322,0.735632183908046,0.7586206896551724,0.7413793103448276
ArrowHead,0.6954022988505747,0.7126436781609196,0.764367816091954,0.7068965517241379
ArrowHead,0.6494252873563219,0.7586206896551724,0.7873563218390804,0.7471264367816092
ArrowHead,0.6839080459770115,0.7701149425287356,0.8045977011494253,0.7816091954022989
ArrowHead,0.6149425287356322,0.7701149425287356,0.7816091954022989,0.7701149425287356
ArrowHead,0.5459770114942529,0.6609195402298851,0.7298850574712644,0.6839080459770115
ArrowHead,0.6724137931034483,0.7241379310344828,0.7241379310344828,0.7126436781609196
ArrowHead,0.6206896551724138,0.7413793103448276,0.7816091954022989,0.7471264367816092
ArrowHead,0.603448275862069,0.7241379310344828,0.7701149425287356,0.735632183908046
ArrowHead,0.6206896551724138,0.764367816091954,0.7931034482758621,0.7758620689655172
ArrowHead,0.5804597701149425,0.6954022988505747,0.7068965517241379,0.7183908045977011
ArrowHead,0.6896551724137931,0.7528735632183908,0.7931034482758621,0.7241379310344828
ArrowHead,0.5689655172413793,0.735632183908046,0.7816091954022989,0.7413793103448276
ArrowHead,0.5977011494252874,0.7068965517241379,0.7701149425287356,0.6896551724137931
ArrowHead,0.6494252873563219,0.7931034482758621,0.7931034482758621,0.7816091954022989
ArrowHead,0.6954022988505747,0.7471264367816092,0.7758620689655172,0.735632183908046
ArrowHead,0.7068965517241379,0.735632183908046,0.7873563218390804,0.7528735632183908
ArrowHead,0.6091954022988506,0.735632183908046,0.7873563218390804,0.7586206896551724
ArrowHead,0.6379310344827587,0.7413793103448276,0.7816091954022989,0.7471264367816092
ArrowHead,0.5862068965517241,0.735632183908046,0.7701149425287356,0.7528735632183908
ArrowHead,0.6781609195402298,0.7528735632183908,0.7816091954022989,0.7528735632183908
ArrowHead,0.6609195402298851,0.7298850574712644,0.7298850574712644,0.764367816091954
ArrowHead,0.7183908045977011,0.7701149425287356,0.764367816091954,0.7413793103448276
ArrowHead,0.6379310344827587,0.7873563218390804,0.7988505747126436,0.7586206896551724
ArrowHead,0.6091954022988506,0.7528735632183908,0.7931034482758621,0.7528735632183908
ArrowHead,0.632183908045977,0.764367816091954,0.7586206896551724,0.7413793103448276
ArrowHead,0.6149425287356322,0.7298850574712644,0.7241379310344828,0.7298850574712644
ArrowHead,0.5747126436781609,0.735632183908046,0.764367816091954,0.7413793103448276
ArrowHead,0.6666666666666666,0.7183908045977011,0.764367816091954,0.7183908045977011
ArrowHead,0.6609195402298851,0.6954022988505747,0.7241379310344828,0.7126436781609196
ArrowHead,0.6379310344827587,0.7758620689655172,0.7528735632183908,0.7701149425287356
ArrowHead,0.6781609195402298,0.7758620689655172,0.7988505747126436,0.7758620689655172
ArrowHead,0.5862068965517241,0.7413793103448276,0.7298850574712644,0.7298850574712644
