dataset,accuracy_breiman,accuracy_ancestor,accuracy_zhu
CricketY,0.6735218508997429,0.6812339331619537,0.6735218508997429
CricketY,0.6838046272493573,0.6889460154241646,0.6915167095115681
CricketY,0.7017994858611826,0.6940874035989717,0.6863753213367609
CricketZ,0.6940874035989717,0.7043701799485861,0.7095115681233933
CricketZ,0.6915167095115681,0.6838046272493573,0.6838046272493573
CricketZ,0.6915167095115681,0.6709511568123393,0.6735218508997429
CricketZ,0.6889460154241646,0.6889460154241646,0.6863753213367609
CricketZ,0.6940874035989717,0.7069408740359897,0.7146529562982005
CricketZ,0.7043701799485861,0.7095115681233933,0.7146529562982005
CricketZ,0.6735218508997429,0.7095115681233933,0.7095115681233933
CricketZ,0.6709511568123393,0.6863753213367609,0.6966580976863753
CricketZ,0.6889460154241646,0.6786632390745502,0.6940874035989717
CricketZ,0.6966580976863753,0.6863753213367609,0.6915167095115681
DiatomSizeReduction,0.9704918032786886,0.9737704918032787,0.9704918032786886
DiatomSizeReduction,0.9737704918032787,0.9737704918032787,0.9704918032786886
DiatomSizeReduction,0.9704918032786886,0.9737704918032787,0.9737704918032787
DiatomSizeReduction,0.9737704918032787,0.9704918032786886,0.9704918032786886
DiatomSizeReduction,0.9737704918032787,0.9672131147540983,0.9573770491803278
DiatomSizeReduction,0.9737704918032787,0.9672131147540983,0.9704918032786886
DiatomSizeReduction,0.9704918032786886,0.9672131147540983,0.9672131147540983
DiatomSizeReduction,0.9737704918032787,0.9704918032786886,0.9704918032786886
DiatomSizeReduction,0.9704918032786886,0.9639344262295082,0.9606557377049181
DiatomSizeReduction,0.9737704918032787,0.9672131147540983,0.9672131147540983
DistalPhalanxOutlineAgeGroup,0.7463768115942029,0.7391304347826086,0.7463768115942029
DistalPhalanxOutlineAgeGroup,0.7391304347826086,0.7391304347826086,0.7391304347826086
DistalPhalanxOutlineAgeGroup,0.7608695652173914,0.7463768115942029,0.7463768115942029
DistalPhalanxOutlineAgeGroup,0.7536231884057971,0.7536231884057971,0.7463768115942029
DistalPhalanxOutlineAgeGroup,0.7318840579710145,0.7246376811594203,0.7101449275362319
DistalPhalanxOutlineAgeGroup,0.7391304347826086,0.7318840579710145,0.7246376811594203
DistalPhalanxOutlineAgeGroup,0.7391304347826086,0.7391304347826086,0.7246376811594203
DistalPhalanxOutlineAgeGroup,0.7463768115942029,0.7463768115942029,0.7318840579710145
DistalPhalanxOutlineAgeGroup,0.7536231884057971,0.7608695652173914,0.7536231884057971
DistalPhalanxOutlineAgeGroup,0.7318840579710145,0.7391304347826086,0.7246376811594203
DistalPhalanxOutlineCorrect,0.76,0.7490909090909091,0.7563636363636363
DistalPhalanxOutlineCorrect,0.7636363636363637,0.7454545454545455,0.7490909090909091
DistalPhalanxOutlineCorrect,0.7672727272727272,0.7527272727272727,0.7490909090909091
DistalPhalanxOutlineCorrect,0.7672727272727272,0.76,0.7672727272727272
DistalPhalanxOutlineCorrect,0.76,0.7381818181818182,0.7490909090909091
DistalPhalanxOutlineCorrect,0.76,0.7563636363636363,0.7636363636363637
DistalPhalanxOutlineCorrect,0.76,0.7490909090909091,0.7636363636363637
DistalPhalanxOutlineCorrect,0.7563636363636363,0.7672727272727272,0.7563636363636363
DistalPhalanxOutlineCorrect,0.7527272727272727,0.7563636363636363,0.7563636363636363
DistalPhalanxOutlineCorrect,0.7709090909090909,0.7563636363636363,0.76
DistalPhalanxTW,0.644927536231884,0.6521739130434783,0.6521739130434783
DistalPhalanxTW,0.6521739130434783,0.6376811594202898,0.6304347826086957
DistalPhalanxTW,0.6594202898550725,0.6594202898550725,0.6666666666666666
DistalPhalanxTW,0.644927536231884,0.6376811594202898,0.6304347826086957
DistalPhalanxTW,0.6521739130434783,0.644927536231884,0.6521739130434783
DistalPhalanxTW,0.6666666666666666,0.644927536231884,0.6376811594202898
DistalPhalanxTW,0.6521739130434783,0.6594202898550725,0.6594202898550725
DistalPhalanxTW,0.6594202898550725,0.6521739130434783,0.6521739130434783
